TransactionID,ReferenceNumber,CustomerID,CustomerName,AccountNumber,IBAN,Amount,Currency,TransactionType,Merchant,MerchantCategoryCode,City,Region,Country,Date,Time,IPAddress,Device,DeviceFingerprint,Browser,OperatingSystem,AccountAgeDays,PreviousTransactions24h,AverageCustomerSpend,FirstTimeMerchant,VelocityThresholdTriggered,VPNRegionalMismatch,ProxyVPNDetected,UnusualAmountDeviation,RiskScore,Status
TXN-000001,REF-202600001,CUST-10001,Faisal Almutairi,SA77-93905440,SA51241423466283894487861,4629.61,USD,Debit,Noon,5399,Makkah,Makkah,Saudi Arabia,2026-06-08,11:53,10.57.33.108,Known Web Browser,fp-281860-409,Chrome,iOS,1173,0,1800,Yes,No,No,No,No,12,Normal
TXN-000002,REF-202600002,CUST-10002,Lama Alshammari,SA61-44746510,SA63454293761285014590197,28000,USD,ATM Withdrawal,Unverified Electronics,5732,Dhahran,Eastern Province,Saudi Arabia,2026-05-16,07:56,185.147.110.188,Unknown Desktop,fp-392203-501,Mobile App,macOS,139,5,2500,Yes,Yes,Yes,No,No,86,Suspicious
TXN-000003,REF-202600003,CUST-10003,Rania Alzahrani,SA92-88380137,SA29399556714530070882499,116.23,SAR,Online Payment,SASCO,5541,Riyadh,Riyadh,Saudi Arabia,2026-05-08,06:27,10.115.120.78,iPhone 15,fp-451819-526,Edge,Linux,1387,2,700,No,No,No,No,No,26,Normal
TXN-000004,REF-202600004,CUST-10004,Mohammed Alsubaie,SA93-62751895,SA17449045490058990008495,120000,AED,Credit,Noon,5399,Dammam,Eastern Province,Saudi Arabia,2026-07-07,09:41,185.232.179.142,New Android Device,fp-315974-448,Firefox,Windows 11,97,17,450,Yes,Yes,Yes,No,Yes,97,Critical
TXN-000005,REF-202600005,CUST-10005,Lama Aldossari,SA17-12160901,SA91732536251663081694192,81.31,SAR,Online Payment,Noon,5399,Abha,Asir,Saudi Arabia,2026-05-04,09:32,10.97.208.185,Known Web Browser,fp-600837-149,Chrome,Linux,1231,4,250,No,No,No,No,No,6,Normal
TXN-000006,REF-202600006,CUST-10006,Mohammed Alshammari,SA76-27496225,SA84961613688570322650362,500000,SAR,Credit,Apple Store,5732,Riyadh,Riyadh,Saudi Arabia,2026-06-26,17:59,185.251.226.100,Rooted Device,fp-248165-336,Edge,Android,100,10,2500,Yes,Yes,Yes,Yes,Yes,99,Critical
TXN-000007,REF-202600007,CUST-10007,Faisal Alshammari,SA71-94301756,SA34654454211178652367280,30.63,AED,ATM Withdrawal,Apple Store,5732,Jeddah,Makkah,Saudi Arabia,2026-05-22,04:45,10.140.61.40,iPhone 14 Pro,fp-906442-580,Safari,Windows 11,3319,1,250,No,No,No,No,No,18,Normal
TXN-000008,REF-202600008,CUST-10008,Sara Alqahtani,SA11-92528819,SA96649223589979610473748,62.0,SAR,Transfer,Alinma ATM,6011,Khobar,Eastern Province,Saudi Arabia,2026-05-23,06:04,10.121.110.90,Alinma Mobile App,fp-896510-263,Edge,macOS,1456,0,3200,No,No,No,No,No,18,Normal
TXN-000009,REF-202600009,CUST-10009,Noura Alotaibi,SA53-12465314,SA86114771093914817669817,8500,SAR,Credit,Unknown Crypto Exchange,6051,Abha,Asir,Saudi Arabia,2026-05-24,05:58,185.178.21.91,iPhone 15,fp-205102-877,Chrome,Linux,99,15,700,No,Yes,Yes,No,Yes,92,Critical
TXN-000010,REF-202600010,CUST-10010,Abdullah Alsubaie,SA21-22010652,SA75435466051558899477751,500000,SAR,Debit,Unknown Crypto Exchange,6051,Madinah,Madinah,Saudi Arabia,2026-06-24,18:19,185.248.146.32,iPhone 14 Pro,fp-996210-620,Chrome,iOS,66,11,2500,Yes,Yes,Yes,Yes,Yes,99,Critical
